Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
2900550,4.0,1,3.944650592030085,2.6631413612565447,3.9,3.9,0.0,0.0,2.1014283496732777,500,2.52332408691632,0,0,0,0,2,4.0,4.0,4.0,145
18362677,3.7,1,4.003106677043152,2.6589059023688,2.6589059023688,2.6589059023688,85.83394811,20.31149633,3.9327136913391136,850,2.52332408691632,0,0,0,0,2,3.7,3.0,3.0,118
2900044,4.1,1,3.997111083237308,2.6606465122366183,2.6606465122366183,2.6606465122366183,85.819178,20.301785,2.6487894254678706,1400,2.52332408691632,0,0,0,0,3,4.1,4.0,4.0,256
2900469,3.6,1,3.944650592030085,2.6631413612565447,3.9395050824176825,3.9395050824176825,85.80823611,20.34306944,2.332559890936828,450,2.52332408691632,0,0,0,0,1,3.6,3.0,3.0,173
2900219,3.8,1,3.944650592030085,2.6631413612565447,3.9395050824176825,3.9395050824176825,85.82272222,20.353675,2.6690052356020937,600,2.52332408691632,0,0,0,0,2,3.8,3.0,3.0,424
2900473,3.7,1,4.003106677043152,2.6589059023688,3.795671505145805,3.795671505145805,85.825257,20.35324774,3.615138714172103,450,2.52332408691632,0,0,0,0,1,3.7,3.0,3.0,338
2900020,3.7,1,3.986957760294412,2.6775814683941888,3.909380004674104,3.909380004674104,85.82685,20.35299167,2.597811065894689,500,2.52332408691632,0,0,0,0,2,3.7,3.0,3.0,228
2900562,3.8,1,4.003106677043152,2.6589059023688,3.795671505145805,3.795671505145805,85.82599327,20.35343289,2.6487894254678706,450,2.52332408691632,0,0,0,0,1,3.8,3.0,3.0,253
18413814,4.0,1,4.003106677043152,2.6589059023688,3.795671505145805,3.795671505145805,85.82289287,20.34347604,3.06428094332633,900,2.52332408691632,0,0,0,0,2,4.0,4.0,4.0,90
18235390,4.0,1,4.003106677043152,2.6589059023688,3.795671505145805,3.795671505145805,85.81112333,20.34314407,2.8655561999343466,400,2.52332408691632,0,0,0,0,1,4.0,4.0,4.0,197
2900640,4.3,1,4.003106677043152,2.6589059023688,3.795671505145805,3.795671505145805,0.0,0.0,3.7548388327589812,800,2.52332408691632,0,0,0,0,2,4.3,4.0,4.0,69
